trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/FinalReward Mean,exploration/FinalReward Std,exploration/FinalReward Max,exploration/FinalReward Min,exploration/Average Returns,exploration/env_infos_final/pos_diff Mean,exploration/env_infos_final/pos_diff Std,exploration/env_infos_final/rot_diff Mean,exploration/env_infos_final/rot_diff Std,exploration/env_infos_final/flip Mean,exploration/env_infos_final/flip Std,exploration/env_infos_final/success Mean,exploration/env_infos_final/success Std,exploration/env_infos_final/target_finger_penalty Mean,exploration/env_infos_final/target_finger_penalty Std,exploration/env_infos_final/pos_rot_reward Mean,exploration/env_infos_final/pos_rot_reward Std,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/FinalReward Mean,evaluation/FinalReward Std,evaluation/FinalReward Max,evaluation/FinalReward Min,evaluation/Average Returns,evaluation/env_infos_final/pos_diff Mean,evaluation/env_infos_final/pos_diff Std,evaluation/env_infos_final/rot_diff Mean,evaluation/env_infos_final/rot_diff Std,evaluation/env_infos_final/flip Mean,evaluation/env_infos_final/flip Std,evaluation/env_infos_final/success Mean,evaluation/env_infos_final/success Std,evaluation/env_infos_final/target_finger_penalty Mean,evaluation/env_infos_final/target_finger_penalty Std,evaluation/env_infos_final/pos_rot_reward Mean,evaluation/env_infos_final/pos_rot_reward Std,time/epoch (s),time/total (s),Epoch
44.288673,44.224277,-4.0448303,-3.8264825,5.4410167,4.764791,-16.348293,-4.047966,0.47266614,-2.4903383,-5.3491945,-0.00022310788,0.0012680689,0.0014461444,-0.0020237968,0.9990004897117615,-0.0,9000,225,40.0,0.0,40,40,-8.623889586153052,3.593548341767026,-2.6155826406295715,-19.825028584655477,-338.71536541270166,8.416853264472152,4.7520597957863995,64.86329023470515,28.19718405210213,0.225,0.41758232721225164,0.0,0.0,-2.1513069973723953,1.4320133244890068,-6.472582588780658,2.737153211370981,800,20,40.0,0.0,40,40,-12.148772615070873,0.2582812551040681,-11.66572369879559,-12.729026692367249,-485.942988904533,11.781777244849206,0.44553946951018647,87.93901837275217,1.856219307850273,0.0,0.0,0.0,0.0,-3.188233169493647,6.863570782931394e-14,-8.960539445577226,0.2582812551040576,0,3516.584540044001,0
18.024887,12.225882,106.83415,-106.06715,112.6735,0.35072243,-367.30634,6.14785,5.7224674,23.260641,-8.238918,-1.0596027,0.5259326,0.12240672,-3.017715,0.09644070267677307,0.34573858976364136,17000,425,40.0,0.0,40,40,-6.9430178973015435,3.3043772168334113,-2.2168549677296583,-18.27013771145581,-295.4493464906437,7.125259528007314,3.0969414825390165,55.74842822181148,41.41190449178187,0.385,0.4865953144040744,0.0,0.0,-1.4344008827332106,1.4490568125971008,-5.508617014568333,2.3432650860791986,1600,40,40.0,0.0,40,40,-13.562594327000365,1.723934544442626,-10.026217669378664,-16.457732186910448,-533.9352869691334,5.851930691053244,1.160816194263271,224.76384431961134,15.14535874089784,0.0,0.0,0.0,0.0,-2.7908907358394006,0.7227046930195715,-10.771703591160966,1.0498172795686525,0,6836.5324027539955,1
3.6197634,4.6506233,69.08275,-67.77925,77.74757,0.24901108,-253.80515,5.5580277,4.8892093,18.990194,-5.366103,-1.0819296,0.54631793,0.035413265,-3.1116066,0.0981641635298729,-1.025641918182373,25000,625,40.0,0.0,40,40,-4.752709501559638,2.5870031571415057,-2.2214160716826172,-15.034007498815797,-197.62525337429443,5.950928219239228,2.2668641668440417,32.44829273631344,18.68575747859363,0.77,0.4208325082500162,0.0,0.0,-0.6445863021407646,1.2729014613914111,-4.108123199418873,1.532760595593961,2400,60,40.0,0.0,40,40,-4.650385796451628,2.6281020590188824,-2.0738797256888186,-8.96606364562544,-199.9261711166631,4.90090454116366,1.7673531136196694,32.149578117935334,18.215367043904433,0.4,0.4898979485566357,0.0,0.0,-1.0777015432996102,1.4257717822141036,-3.5726842531520178,1.2298774195871882,0,10073.857539698,2
3.390998,3.673082,59.515167,-56.374218,61.390194,0.9117866,-281.67352,5.681654,4.630961,17.213974,-5.8069544,-1.1385552,0.5293382,0.21869206,-3.055838,0.10355844348669052,-0.7217462658882141,33000,825,40.0,0.0,40,40,-4.2007250889488335,2.5527308108154974,-2.187403516651367,-22.367256128020408,-187.2328215788446,6.088446640118003,3.624262210359623,27.421285388952025,15.66034626099828,0.905,0.293214938227915,0.0,0.0,-0.19931833855737854,0.738751895750963,-4.001406750391455,2.0214274275127475,3200,80,40.0,0.0,40,40,-2.936812252188295,0.29248275101201854,-2.4564279191178406,-3.710969833854236,-154.6799106147456,4.310425852692477,0.6900485072243422,22.39117132051013,5.661282711761337,1.0,0.0,0.0,0.0,0.0,0.0,-2.936812252188295,0.29248275101201854,0,13277.64669407402,3
2.9858975,2.2648044,75.173355,-71.32489,77.945015,0.30813763,-374.78912,5.808663,4.333531,22.8534,-4.2109394,-1.1972151,0.52760303,0.22454375,-2.912305,0.09566129744052887,-0.4489802122116089,41000,1025,40.0,0.0,40,40,-5.526289928437711,3.0725872950491615,-2.3832039504117057,-14.44811102200009,-211.35221241610378,6.1075955962438,3.4073681594816665,35.92828474221791,16.98736371058741,0.515,0.4997749493522059,0.0,0.0,-1.218358403624321,1.5083336081809615,-4.30793152481339,1.851001625704133,4000,100,40.0,0.0,40,40,-2.9923031255996855,0.10911569263341474,-2.7177231910917485,-3.14545059832164,-149.51584598724168,3.744853193506902,0.21320373473702636,32.0820993393249,3.909430234565809,1.0,0.0,0.0,0.0,0.0,0.0,-2.9923031255996855,0.10911569263341474,0,16523.152204285027,4
1.574989,2.470965,74.86903,-70.797775,79.91515,0.18491448,-238.61671,5.441477,4.380031,18.914776,-4.7083406,-1.2142507,0.5008694,-0.055258483,-2.8102915,0.08336417376995087,-1.387847661972046,49000,1225,40.0,0.0,40,40,-3.212965998427707,1.2412960941600444,-1.790932363349249,-11.988432399722686,-152.5183721911162,4.739332786536918,1.2058584852764886,22.17438241884257,16.355598803130192,0.97,0.1705872210923198,0.0,0.0,-0.0692676395489534,0.4538438352206457,-3.1436983588787535,0.9159924572620288,4800,120,40.0,0.0,40,40,-2.909547082204715,0.0967159239666921,-2.7152892636547006,-3.05871981857801,-156.5435197882346,5.11604457548333,0.2704684916031698,10.070443558468265,2.6338290700436606,1.0,0.0,0.0,0.0,0.0,0.0,-2.909547082204715,0.0967159239666921,0,19715.253091771017,5
1.558036,1.4001067,102.20746,-98.35504,110.04328,-0.10592118,-343.59125,5.890022,4.502788,19.78406,-3.8801444,-1.1772972,0.5269454,0.058212504,-2.9482925,0.0762292817234993,-0.28306490182876587,57000,1425,40.0,0.0,40,40,-2.749427046894111,0.6925703996526539,-2.054680088154915,-8.960262345806235,-146.8359068414518,4.144308653480979,0.7372362782564575,18.447354502675406,8.973497986272296,0.985,0.1215524578114322,0.0,0.0,-0.03333857144504825,0.3311077073367333,-2.7160884754490633,0.4247888645947282,5600,140,40.0,0.0,40,40,-3.011223683610761,0.2149416834261088,-2.704875588431797,-3.349133295897475,-156.85400429547678,4.149406861058775,0.5844997995315433,26.829328965043224,2.649767818687251,1.0,0.0,0.0,0.0,0.0,0.0,-3.011223683610761,0.2149416834261088,0,22929.559870491998,6
2.1640108,2.0732205,100.70461,-96.25277,110.226845,-0.06490034,-445.00534,5.7362394,4.39679,18.920904,-3.800246,-1.2388482,0.5709224,0.20078236,-2.9923685,0.07176556438207626,-0.6947603225708008,65000,1625,40.0,0.0,40,40,-3.557053494494161,1.7493676495426027,-1.9399515225889719,-10.775498208832216,-151.5913753494334,4.957846949939376,1.3820628465262448,20.52631499398864,14.563045537775722,0.88,0.3249615361854384,0.0,0.0,-0.3616264596313096,1.0612053519630478,-3.1954270348628517,0.9028198543344453,6400,160,40.0,0.0,40,40,-2.6167665731788787,0.08497660839681383,-2.4744923419649174,-2.752556625819663,-143.01407089751712,3.81188365959244,0.3040068317259959,20.363628884648083,3.6816742861792617,1.0,0.0,0.0,0.0,0.0,0.0,-2.6167665731788787,0.08497660839681383,0,26125.51851201098,7
1.1385673,1.3327143,106.4684,-102.13162,117.80452,0.000119811906,-489.02832,6.169298,4.5882926,26.728642,-5.845831,-1.2649258,0.6002424,0.09943128,-3.107317,0.06981447339057922,0.45070594549179077,73000,1825,40.0,0.0,40,40,-2.8379562204689703,0.989689053525861,-1.8183684104353162,-11.074383987308389,-142.45218702078898,4.4179113394058875,0.9198904984008779,14.941472214441397,10.882040141496024,0.94,0.23748684174075838,0.0,0.0,-0.10744478029152564,0.5172441426926908,-2.730511440177445,0.5948972620466355,7200,180,40.0,0.0,40,40,-2.4201479002463495,0.09152851585048934,-2.2931771466171416,-2.7397022714609767,-135.74518049373881,4.1197436672772065,0.17133904609464487,10.321149038099012,0.8930252185514922,1.0,0.0,0.0,0.0,0.0,0.0,-2.4201479002463495,0.09152851585048934,0,29334.652916784034,8
1.4210751,1.2298477,112.902725,-109.125305,128.36728,-0.02079987,-534.48254,5.2784595,4.166639,23.156761,-4.3498573,-1.3059818,0.5684441,0.28421658,-3.02915,0.07663292437791824,-1.8529549837112427,81000,2025,40.0,0.0,40,40,-2.9157983321368084,1.1475740578121854,-1.9909840941594297,-10.555803460596975,-145.25814980005046,4.519246102657142,0.9954674892811466,15.908836281613064,9.814791178037598,0.97,0.1705872210923198,0.0,0.0,-0.10085213425847779,0.5780449489398538,-2.81494619787833,0.6571532817008563,8000,200,40.0,0.0,40,40,-3.00061970838949,0.27828562604921975,-2.4976725316659127,-3.665718795663758,-145.57593700244655,4.65757008141526,0.7067139810377303,19.246645494372398,4.1210789792888525,1.0,0.0,0.0,0.0,0.0,0.0,-3.00061970838949,0.27828562604921975,0,32505.980629882048,9
