trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,ADR/increase_counts,ADR/decrease_counts,ADR/controller_max_translation_min,ADR/controller_max_rotation_min,ADR/object_to_wall_dist_max,ADR/table_offset_x_min,ADR/table_offset_x_max,ADR/table_offset_z_min,ADR/table_offset_z_max,ADR/object_size_x_min,ADR/object_size_x_max,ADR/object_size_z_min,ADR/object_size_z_max,ADR/table_friction_min,ADR/table_friction_max,ADR/gripper_friction_min,ADR/object_density_min,ADR/object_density_max,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/FinalReward Mean,exploration/FinalReward Std,exploration/FinalReward Max,exploration/FinalReward Min,exploration/Average Returns,exploration/env_infos_final/pos_diff Mean,exploration/env_infos_final/pos_diff Std,exploration/env_infos_final/rot_diff Mean,exploration/env_infos_final/rot_diff Std,exploration/env_infos_final/flip Mean,exploration/env_infos_final/flip Std,exploration/env_infos_final/success Mean,exploration/env_infos_final/success Std,exploration/env_infos_final/target_finger_penalty Mean,exploration/env_infos_final/target_finger_penalty Std,exploration/env_infos_final/pos_rot_reward Mean,exploration/env_infos_final/pos_rot_reward Std,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/FinalReward Mean,evaluation/FinalReward Std,evaluation/FinalReward Max,evaluation/FinalReward Min,evaluation/Average Returns,evaluation/env_infos_final/pos_diff Mean,evaluation/env_infos_final/pos_diff Std,evaluation/env_infos_final/rot_diff Mean,evaluation/env_infos_final/rot_diff Std,evaluation/env_infos_final/flip Mean,evaluation/env_infos_final/flip Std,evaluation/env_infos_final/success Mean,evaluation/env_infos_final/success Std,evaluation/env_infos_final/target_finger_penalty Mean,evaluation/env_infos_final/target_finger_penalty Std,evaluation/env_infos_final/pos_rot_reward Mean,evaluation/env_infos_final/pos_rot_reward Std,time/epoch (s),time/total (s),Epoch
44.565014,44.50357,-4.044851,-3.6610656,5.5786667,4.4369698,-15.721741,-4.047986,0.4726533,-2.4903708,-5.349062,-0.00022219715,0.0012676199,0.0014382001,-0.002022142,0.9990004897117615,-0.0,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,9000,225,40.0,0.0,40,40,-8.279837113227037,3.5721847003961855,-2.652709923391052,-18.7421242920881,-337.23056749144814,8.474397268884061,5.121551444500918,54.50750838238631,23.792595974502692,0.185,0.3882975663070785,0.0,0.0,-2.139967502122907,1.45620370480652,-6.139869611104129,2.704856628863718,800,20,40.0,0.0,40,40,-12.293936363079958,0.265711830552451,-11.89525358757207,-12.79563122448544,-491.7492527014707,12.003641526142413,0.44206228943689463,88.91968168666149,2.102719544095694,0.0,0.0,0.0,0.0,-3.188233169493657,7.497798951640246e-14,-9.105703193586303,0.26571183055247216,0,3401.5315665765665,0
4.316126,4.7858353,60.820705,-60.30615,63.814228,-0.21809164,-203.66821,6.0766077,4.7027493,19.416698,-5.003063,-1.0478846,0.5278451,0.17453837,-3.4693003,0.12316111475229263,0.16043168306350708,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,17000,425,40.0,0.0,40,40,-7.363748761213326,4.173703980509382,-2.580553869398254,-22.249341955710893,-299.9293341536127,8.805287902935607,5.899810272780976,46.377995326080985,19.258052261739735,0.48,0.4995998398718719,0.0,0.0,-1.342207371916215,1.5226151067495262,-6.021541389297113,3.1251584918252555,1600,40,40.0,0.0,40,40,-8.346832610485045,2.133315491803118,-3.3029818025776914,-9.966480623598681,-347.28460725171493,6.904127019737105,1.0291229821225303,64.66553667465317,23.813580702370714,0.2,0.4000000000000001,0.0,0.0,-2.6375160455328057,1.3196965582334783,-5.709316564952237,0.9996093239142763,0,6510.574221668416,1
7.125038,5.9192195,87.67529,-85.72226,100.11209,0.04565855,-600.8127,6.2561607,4.9203362,31.551472,-7.0963697,-1.1281878,0.59045345,0.50665593,-3.3648546,0.11658121645450592,0.5506800413131714,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,25000,625,40.0,0.0,40,40,-5.394336177527495,1.8106312595107903,-2.7012786460762856,-13.089455620471952,-239.56499025562545,6.087412111099317,1.7229314228081787,43.94120566202336,20.655586453898454,0.665,0.4719904660054057,0.0,0.0,-0.8167926897812717,1.356129689120499,-4.577543487746222,1.138239246017229,2400,60,40.0,0.0,40,40,-4.9002485354808645,1.734087467307148,-3.084295029138403,-7.829047780814788,-225.9883966724364,4.941691198801058,1.070213921096467,39.3599361254627,15.111413130164,0.55,0.4974937185533099,0.0,0.0,-1.0554819785523681,1.4296244327617864,-3.844766556928498,0.6574011822742233,0,9593.57825639809,2
4.2838283,5.2542343,80.89085,-78.80826,87.79735,0.07423258,-292.37973,5.9756665,4.861982,20.996033,-5.134813,-1.1946083,0.5763591,0.0049328804,-3.4941087,0.12443231046199799,-0.05070739984512329,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,33000,825,40.0,0.0,40,40,-6.155549056758244,3.2272748013959323,-2.2753369485609753,-24.455290783187657,-242.9239112911487,6.478506906568532,3.836071111371739,53.6362145161769,26.162239345986183,0.665,0.4719904660054057,0.0,0.0,-1.0440385202474503,1.4897476957454243,-5.111510536510795,2.3649144640424784,3200,80,40.0,0.0,40,40,-7.541254464542186,1.23974630777259,-2.5958943669377654,-8.811164506838402,-294.98737200869715,5.365905586650883,0.9906226154753794,52.41074665410074,9.174546485259686,0.05,0.21794494717703367,0.0,0.0,-3.0288214861314264,0.6948593040037686,-4.512432978410761,0.6656607728761291,0,12665.875710069202,3
5.1204123,6.198916,90.15387,-86.55388,95.52729,0.051503778,-326.6263,6.1891065,4.8540344,21.872826,-6.275813,-1.2683372,0.58666843,0.18164754,-3.3595529,0.10139775276184082,0.4328394830226898,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,41000,1025,40.0,0.0,40,40,-4.427972601339234,2.422389657923709,-1.3035150028337519,-14.769944098626304,-200.66098803896267,5.7597026102314315,2.3535000930595644,34.04989551109424,25.409966875649435,0.865,0.34172357249683555,0.005,0.07053367989832944,-0.3595557229662542,0.9983537809615879,-4.06841687837298,1.7378457612022211,4000,100,40.0,0.0,40,40,-3.365854737639681,0.18798548611471916,-2.914693422972793,-3.651803549094805,-177.45045878795017,5.326212864038492,0.24466665916023617,20.13225598601033,3.387127020294194,1.0,0.0,0.0,0.0,0.0,0.0,-3.365854737639681,0.18798548611471916,0,15745.834307714947,4
3.2471676,2.9415689,98.82785,-95.36572,106.24619,0.09173177,-311.48257,5.738822,4.505235,17.792723,-5.4931397,-1.3340675,0.6327211,0.6211329,-3.313033,0.09891998767852783,-0.6041995286941528,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,49000,1225,40.0,0.0,40,40,-3.8134543660148292,1.869039890997174,-1.1398079360474187,-15.202642307201444,-174.17529194887305,4.3921421126073685,2.236361137542286,41.895884691921765,27.11083853382764,0.945,0.22798026230355997,0.005,0.07053367989832943,-0.15494104789129517,0.6784527031258858,-3.658513318123534,1.5384041739738525,4800,120,40.0,0.0,40,40,-2.2523880811652175,1.7370631939132435,-1.0797323243179828,-9.344462675586348,-134.91782688843125,2.840757309883341,1.514171415398196,19.030339067587825,11.178163205816896,0.95,0.21794494717703372,0.2,0.4,-0.16772527722291677,0.7310975336920384,-2.084662803942301,1.0829828200617408,0,18923.230709985946,5
1.8966339,1.9405817,89.94903,-86.167114,97.526985,-0.0440314,-270.6131,5.60906,4.537404,21.648218,-5.1610765,-1.3106933,0.6210965,0.61495507,-3.5455213,0.08632195740938187,-0.9578002691268921,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,57000,1425,40.0,0.0,40,40,-2.896017572709533,2.0533736165241874,-1.07794998872936,-10.358807413008428,-149.33706811177078,3.771427263937739,2.4658143773350916,23.32218990730663,12.983067332649211,0.92,0.2712931993250107,0.0,0.0,-0.1962059354248801,0.7608817143139917,-2.6998116372846535,1.4796437072596667,5600,140,40.0,0.0,40,40,-3.911822300846034,1.9405884514650331,-2.8632442438359957,-9.807760037543805,-185.81467697234262,5.919327793947064,1.092580355398944,17.726585491982004,11.965506211238356,0.9,0.30000000000000004,0.0,0.0,-0.33338383992981263,1.000154411280508,-3.578438460916222,0.9487141063512184,0,22093.3482439348,6
2.8442824,3.2753248,93.20564,-89.51444,101.2572,0.10597225,-333.63052,6.0917788,4.650835,25.92664,-2.6785903,-1.4092264,0.67918926,-0.004132867,-3.58404,0.08726734668016434,0.22379866242408752,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,65000,1625,40.0,0.0,40,40,-1.5724770134822452,0.9092198107352579,-0.8505440125101354,-8.655420544671193,-106.09853283180193,2.0888810354120766,1.214427396614444,14.201360466870597,6.524690740193205,0.99,0.09949874371066199,0.075,0.26339134382131846,-0.032315498957304775,0.321544453947691,-1.5401615145249405,0.6935129193390207,6400,160,40.0,0.0,40,40,-1.2695520629171149,0.025448146328275426,-1.2273365358423443,-1.33561161394643,-99.54667799958341,1.5841025661835832,0.1280996654951352,13.679389699098286,1.3419088335388532,1.0,0.0,0.0,0.0,0.0,0.0,-1.2695520629171149,0.025448146328275426,0,25328.963351903716,7
5.131236,6.339591,87.68878,-83.77433,96.242615,0.10793089,-299.1041,5.9029884,4.741885,25.016998,-7.5237045,-1.4233812,0.66167086,0.14193153,-3.6326165,0.08774705976247787,-0.2360491007566452,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,73000,1825,40.0,0.0,40,40,-1.6114019507963462,1.048603362556112,-1.0336351320071684,-13.0478320753489,-106.80218676881726,2.2843163303451743,1.4361478592656627,12.98610196798776,6.702721618541151,0.995,0.07053367989832943,0.175,0.3799671038392666,-0.015943312941555928,0.22490810630771974,-1.5954586378547908,0.8862750698439801,7200,180,40.0,0.0,40,40,-1.2587277050922578,0.04446074155461151,-1.1681428522902573,-1.3372053071778711,-93.02730552848479,1.5911845556905848,0.07266496295292736,13.267852662119656,0.5118162511331883,1.0,0.0,0.0,0.0,0.0,0.0,-1.2587277050922578,0.04446074155461151,0,28502.532248795964,8
8.810442,6.28439,89.12756,-85.54142,98.125885,0.008224584,-401.45084,6.0506673,4.72288,22.126987,-6.2294397,-1.43608,0.66233826,-0.0012003779,-4.1268544,0.08226471394300461,0.12658382952213287,0,0,0.03,0.2,0,0.5,0.5,0.065,0.065,0.15,0.15,0.05,0.05,0.3,0.3,3,86.0,86.0,81000,2025,40.0,0.0,40,40,-1.435168410666986,0.8516060594081138,-0.9800533442694231,-10.933879132025258,-104.58221684054728,1.8872260588507246,1.0435940259027587,13.602034699096684,7.731060384527825,0.99,0.09949874371066199,0.215,0.41082234603292944,-0.01675480030211681,0.22511281902201352,-1.4184136103648688,0.6852659085294772,8000,200,40.0,0.0,40,40,-1.5591093560371547,0.6313240400077857,-1.2079791275197436,-3.30589493785733,-115.83015076634736,2.189756001870657,1.2920652896772051,13.299248682486825,1.0250415358283242,1.0,0.0,0.0,0.0,0.0,0.0,-1.5591093560371547,0.6313240400077857,0,31699.70921063691,9
