replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,trainer/Policy Action Mean,trainer/Policy Action Std,trainer/Policy Action Max,trainer/Policy Action Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,exploration/env_infos/final/reward_run Mean,exploration/env_infos/final/reward_run Std,exploration/env_infos/final/reward_run Max,exploration/env_infos/final/reward_run Min,exploration/env_infos/initial/reward_run Mean,exploration/env_infos/initial/reward_run Std,exploration/env_infos/initial/reward_run Max,exploration/env_infos/initial/reward_run Min,exploration/env_infos/reward_run Mean,exploration/env_infos/reward_run Std,exploration/env_infos/reward_run Max,exploration/env_infos/reward_run Min,exploration/env_infos/final/reward_ctrl Mean,exploration/env_infos/final/reward_ctrl Std,exploration/env_infos/final/reward_ctrl Max,exploration/env_infos/final/reward_ctrl Min,exploration/env_infos/initial/reward_ctrl Mean,exploration/env_infos/initial/reward_ctrl Std,exploration/env_infos/initial/reward_ctrl Max,exploration/env_infos/initial/reward_ctrl Min,exploration/env_infos/reward_ctrl Mean,exploration/env_infos/reward_ctrl Std,exploration/env_infos/reward_ctrl Max,exploration/env_infos/reward_ctrl Min,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,evaluation/env_infos/final/reward_run Mean,evaluation/env_infos/final/reward_run Std,evaluation/env_infos/final/reward_run Max,evaluation/env_infos/final/reward_run Min,evaluation/env_infos/initial/reward_run Mean,evaluation/env_infos/initial/reward_run Std,evaluation/env_infos/initial/reward_run Max,evaluation/env_infos/initial/reward_run Min,evaluation/env_infos/reward_run Mean,evaluation/env_infos/reward_run Std,evaluation/env_infos/reward_run Max,evaluation/env_infos/reward_run Min,evaluation/env_infos/final/reward_ctrl Mean,evaluation/env_infos/final/reward_ctrl Std,evaluation/env_infos/final/reward_ctrl Max,evaluation/env_infos/final/reward_ctrl Min,evaluation/env_infos/initial/reward_ctrl Mean,evaluation/env_infos/initial/reward_ctrl Std,evaluation/env_infos/initial/reward_ctrl Max,evaluation/env_infos/initial/reward_ctrl Min,evaluation/env_infos/reward_ctrl Mean,evaluation/env_infos/reward_ctrl Std,evaluation/env_infos/reward_ctrl Max,evaluation/env_infos/reward_ctrl Min,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.01627272,0.01627005,0.0035495393,0.0048383856,0.0006792409,0.007032952,0.0030948273,0.0021614088,0.00082571234,0.00431934,0.0003186938,0.0009782203,0.12759787,0.3154542,-0.35360056,0.01627272,0.022928068,0.12899351,4.2381983e-12,0.016270049,0.022768507,0.12690106,1.23724e-07,0.0002482793,0.0035650115,0.008278149,-0.007987873,2000,2,1000.0,0.0,1000,1000,-0.007685568452101188,0.12101608847022563,0.3675126814540379,-0.3798806911231334,-7.685568452101191,0.0,-7.685568452101191,-7.685568452101191,0.0010281061144646099,0.09974882143795713,0.3459331328240644,-0.4422154667026399,1,-7.685568452101191,0.003991376970164575,0.0,0.003991376970164575,0.003991376970164575,-0.1435475460300703,0.0,-0.1435475460300703,-0.1435475460300703,-0.001715037823834755,0.12089652234650296,0.374239124890924,-0.3664021094380934,-0.00378070201782756,0.0,-0.00378070201782756,-0.00378070201782756,-0.010471110402847483,0.0,-0.010471110402847483,-0.010471110402847483,-0.005970530628266434,0.0034543120016433462,-0.0004691042052559361,-0.026322628776873858,5000,5,1000.0,0.0,1000,1000,-0.0006524607839341928,0.015609305452105721,0.15770415984854683,-0.3416895308543243,-0.652460783934192,0.49244951138862636,-0.15504201270131526,-1.5335600615786158,0.00031845414,0.0033794888,0.007157543,-0.011646108,5,-0.652460783934192,-1.457167719820518e-16,1.5265566588595902e-16,1.3877787807814457e-16,-2.7755575615628914e-16,-0.054519301477154156,0.14057151414583033,0.15771114295032224,-0.22237082031962008,-0.0006455473252081442,0.015609246322981912,0.15771114295032224,-0.34168258916147887,-6.907601346028969e-06,0.0,-6.907601346028969e-06,-6.907601346028969e-06,-7.292580557987096e-06,3.376709883953248e-07,-6.983101775404066e-06,-7.872226706240327e-06,-6.913458726048702e-06,2.423394435077787e-07,-5.1951887144241485e-06,-1.9901490304619074e-05,0.004795443999682902,2.014369765999618,0.4358471189998454,0.016634928999337717,0.010740911999164382,5.620387959999789,8.102776129997437,10.156062274998476,0
3000,0.27716935,0.2819218,-2.218788,1.439791,0.32070786,2.080564,0.8034473,1.4382253,0.31493607,2.0718863,0.8109736,1.1798449,0.753585,2.1800628,-0.42127153,0.27716935,0.45197052,1.9993756,2.335542e-07,0.2819218,0.45906472,2.0102324,1.6890112e-06,2.5440627e-07,0.99999934,1.0,-1.0,3000,3,1000.0,0.0,1000,1000,-0.5524604406147575,0.08232392057000854,0.49478365703222227,-0.7436907925588002,-552.4604406147579,0.0,-552.4604406147579,-552.4604406147579,0.0013551978333117744,0.9626064502895547,1.0,-1.0,1,-552.4604406147579,0.14456348719584539,0.0,0.14456348719584539,0.14456348719584539,0.8855696654031856,0.0,0.8855696654031856,0.8855696654031856,0.003507368205377129,0.08567828244807009,1.0489153213344564,-0.1991648430599105,-0.578226017844102,0.0,-0.578226017844102,-0.578226017844102,-0.5440270821817754,0.0,-0.5440270821817754,-0.5440270821817754,-0.5559678088201346,0.02580471047080506,-0.46573782721500656,-0.6000000000000001,10000,10,1000.0,0.0,1000,1000,-0.5970922485713183,0.05574552593158553,0.8343420299827325,-1.0674279916146332,-597.0922485713188,0.618264072080285,-596.4250646925759,-598.0434105934262,3.703912e-07,0.9999991,1.0,-1.0,5,-597.0922485713188,2.7755575615628914e-16,5.551115123125783e-16,1.3877787807814457e-15,0.0,1.1131948789534245,0.2051134824367077,1.4343395027457941,0.8674704960331903,0.0029067507763685927,0.055745512068573894,1.4343395027457941,-0.46742799161463316,-0.5999989986419678,0.0,-0.5999989986419678,-0.5999989986419678,-0.5999967002868652,7.29669924297029e-07,-0.5999958038330079,-0.5999974727630616,-0.5999989993476866,1.1258791726472808e-07,-0.5999958038330079,-0.6000000000000001,0.0047341729996333015,1.9794347629995173,0.4091059870006575,0.018216771999505,0.006940618999578874,5.592678871000317,8.011111184999208,18.17033520699715,1
4000,0.23155802,0.22668274,-3.3946984,2.3134756,1.6883073,4.385164,-0.051415995,2.31434,1.6932945,4.393973,-0.049053356,2.1462927,1.9433275,4.5494537,-0.41734836,0.23155802,0.39435396,1.8186951,6.2233435e-06,0.22668272,0.387165,1.8592812,2.0048014e-07,1.0,0.0,1.0,1.0,4000,4,1000.0,0.0,1000,1000,-0.550107308271685,0.0763693810916306,0.5018903961854507,-0.8962966531235547,-550.1073082716847,0.0,-550.1073082716847,-550.1073082716847,0.9599755615785565,0.05795631727203225,1.0,0.6729924236899876,1,-550.1073082716847,0.003932716391173985,0.0,0.003932716391173985,0.003932716391173985,0.9455836544410903,0.0,0.9455836544410903,0.9455836544410903,0.004839899852195806,0.07218679309321324,1.0674532849010923,-0.3083691962848456,-0.5670503715078974,0.0,-0.5670503715078974,-0.5670503715078974,-0.5421028759977708,0.0,-0.5421028759977708,-0.5421028759977708,-0.5549472081238808,0.025753804398433028,-0.464441027603575,-0.6000000000000001,15000,15,1000.0,0.0,1000,1000,-0.5952472117627772,0.07575593772942604,0.9162161312592207,-1.0478184711302825,-595.2472117627883,1.4590564403530055,-593.2077675017139,-597.3748556511247,1.0,0.0,1.0,1.0,5,-595.2472117627883,0.0,0.0,0.0,0.0,0.9992795610551856,0.12271402951693107,1.1685202281915215,0.7933226749885786,0.004752788237222804,0.07575593772942606,1.5162161312592208,-0.4478184711302824,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.00470048199986195,2.0209582959996624,0.42172242699962226,0.015588762999868777,0.006847006000498368,5.802196375999301,8.272013349998815,26.44544629399752,2
5000,0.012622484,0.012731171,0.6897781,-0.1375935,1.5779698,2.5416937,-2.1781905,-0.14235401,1.5855212,2.5645144,-2.2150595,-0.15602386,1.5785959,2.7196815,-2.315143,0.012622483,0.029141132,0.28412393,2.4474645e-09,0.012731171,0.029897291,0.295468,2.8153693e-07,1.0,0.0,1.0,1.0,5000,5,1000.0,0.0,1000,1000,-0.5493524368377628,0.08416248024722847,0.5525796165901187,-1.0094645503217539,-549.3524368377629,0.0,-549.3524368377629,-549.3524368377629,0.9597690960669094,0.05866003604474913,1.0,0.6615605363283819,1,-549.3524368377629,0.018518750057093802,0.0,0.018518750057093802,0.018518750057093802,0.7742794545967372,0.0,0.7742794545967372,0.7742794545967372,0.005406193718555401,0.07943707444550992,1.0979203350111575,-0.45239096422659997,-0.5743494809862457,0.0,-0.5743494809862457,-0.5743494809862457,-0.45176681685340503,0.0,-0.45176681685340503,-0.45176681685340503,-0.5547586305563181,0.02661101637296594,-0.45176681685340503,-0.6000000000000001,20000,20,1000.0,0.0,1000,1000,-0.595254009694508,0.07469686981054582,1.1046768956518187,-1.0033951682739652,-595.2540096945191,0.6892966598984661,-593.9319108512681,-595.9059390555726,1.0,0.0,1.0,1.0,5,-595.2540096945191,0.0,0.0,0.0,0.0,1.085901958606679,0.10088023473839307,1.2326028667228777,0.9694116271887165,0.00474599030549193,0.07469686981054581,1.7046768956518188,-0.40339516827396504,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004678240000430378,2.0293136990003404,0.44284037400029774,0.01633244900040154,0.006752833999598806,5.591290640999432,8.091208237000501,34.53978681699755,3
6000,0.013657433,0.011838622,2.0880706,-1.9654675,1.3093255,0.46125644,-3.7243612,-1.951086,1.3014381,0.4452957,-3.7475908,-1.9263101,1.2713788,0.4383676,-3.8764207,0.013657434,0.02060111,0.14478938,2.0525874e-07,0.011838622,0.017875155,0.13015482,2.554463e-06,1.0,0.0,1.0,1.0,6000,6,1000.0,0.0,1000,1000,-0.5509978208371226,0.08909796075154285,0.5558467505605976,-0.8819011910192026,-550.9978208371218,0.0,-550.9978208371218,-550.9978208371218,0.9627484641313795,0.05647967132877114,1.0,0.6651001347436551,1,-550.9978208371218,-0.01077149494440155,0.0,-0.01077149494440155,-0.01077149494440155,1.026837164136984,0.0,1.026837164136984,1.026837164136984,0.007046914239319012,0.08646619501144122,1.115550009623644,-0.3228274272012954,-0.5463582071546613,0.0,-0.5463582071546613,-0.5463582071546613,-0.5772128785917359,0.0,-0.5772128785917359,-0.5772128785917359,-0.5580447350764416,0.025132925042870503,-0.4571175510446378,-0.6000000000000001,25000,25,1000.0,0.0,1000,1000,-0.5956875579171538,0.0725170265158902,0.6406157222774231,-0.9923028507512817,-595.6875579171649,0.8407999749056786,-594.6782946140002,-596.7704725250742,1.0,0.0,1.0,1.0,5,-595.6875579171649,0.0,0.0,0.0,0.0,0.9793750294457402,0.06160328081132193,1.0783434811924442,0.9052341837143063,0.0043124420828462495,0.0725170265158902,1.2406157222774232,-0.3923028507512816,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004726020999441971,2.0291068839997024,0.42511160300000483,0.0181068249994496,0.006794213999455678,5.654395413999737,8.138240960997791,42.681160943995565,4
7000,0.016147349,0.015115542,3.1670327,-3.024205,1.5472975,-0.5265747,-5.3053412,-3.029614,1.5485008,-0.53099114,-5.47539,-3.0647612,1.5823594,-0.4974305,-5.7387204,0.016147349,0.028453147,0.23640375,4.9133178e-09,0.015115542,0.026255623,0.24608961,9.204406e-10,1.0,0.0,1.0,1.0,7000,7,1000.0,0.0,1000,1000,-0.5491368293338471,0.07919207412089897,0.2452042521944403,-1.0010698027909783,-549.1368293338464,0.0,-549.1368293338464,-549.1368293338464,0.9584882236416216,0.06055487549424809,1.0,0.63996816367866,1,-549.1368293338464,0.03828446611924996,0.0,0.03828446611924996,0.03828446611924996,0.7446260907060037,0.0,0.7446260907060037,0.7446260907060037,0.004283111349629835,0.07326809215936529,0.7992740123884418,-0.46787364695126676,-0.5129572818212726,0.0,-0.5129572818212726,-0.5129572818212726,-0.5786159182826239,0.0,-0.5786159182826239,-0.5786159182826239,-0.553419940683477,0.028358726983872106,-0.4469385387487373,-0.6000000000000001,30000,30,1000.0,0.0,1000,1000,-0.5962204457823232,0.07057877586432182,0.5922027414292161,-1.0253206568187652,-596.2204457823344,0.999310019000291,-594.8871639847755,-597.6919093101122,1.0,0.0,1.0,1.0,5,-596.2204457823344,0.0,0.0,0.0,0.0,0.8637346584912183,0.15492110812300014,1.1382127001254712,0.6993579237446396,0.003779554217676787,0.0705787758643218,1.1922027414292162,-0.4253206568187651,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004705539000497083,2.080691027999819,0.4285437640000964,0.01628707400050189,0.006857254999886209,5.8746763070003,8.4117609670011,51.09602917799566,5
8000,0.011239672,0.010723658,4.417754,-4.4171467,1.7324631,-1.1196892,-5.815279,-4.399287,1.7225807,-1.1297649,-5.7578545,-4.40263,1.7380251,-1.0262475,-5.9743137,0.011239671,0.020735249,0.230683,1.9921572e-08,0.010723657,0.017500862,0.123788044,5.0226845e-08,1.0,0.0,1.0,1.0,8000,8,1000.0,0.0,1000,1000,-0.5502887281994854,0.07431333345104624,0.28294028745040123,-0.9748546519763844,-550.2887281994848,0.0,-550.2887281994848,-550.2887281994848,0.9601470238440458,0.058640625722203736,1.0,0.5671431214845091,1,-550.2887281994848,0.009829818010562708,0.0,0.009829818010562708,0.009829818010562708,0.763796182805665,0.0,0.763796182805665,0.763796182805665,0.0049038900295169255,0.07045398257645083,0.844407572863945,-0.4060085543102432,-0.497585965888091,0.0,-0.497585965888091,-0.497585965888091,-0.576622947809172,0.0,-0.576622947809172,-0.576622947809172,-0.5551926182290021,0.025839951759064502,-0.4574727356509433,-0.6000000000000001,35000,35,1000.0,0.0,1000,1000,-0.5961550761698845,0.07204272003748535,0.6252684700400184,-1.0317266887345073,-596.1550761698957,1.36339914845275,-594.1980370276166,-597.9739393826836,1.0,0.0,1.0,1.0,5,-596.1550761698957,-3.469446951953614e-17,6.938893903907228e-17,0.0,-1.734723475976807e-16,0.9709115448285999,0.13448497382503086,1.153184365491302,0.7422482402548047,0.00384492383011554,0.07204272003748535,1.2252684700400185,-0.43172668873450726,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004731590000119468,2.0461330329999328,0.4223001909995219,0.01749199799996859,0.006785412999306573,5.556029789999229,8.053472014998079,59.15256186699389,6
9000,0.013711633,0.014059849,5.6955433,-5.6424665,2.0700076,-1.5219983,-7.109176,-5.65825,2.0792778,-1.4894224,-7.116541,-5.640339,2.0736217,-1.4423842,-7.2844152,0.013711633,0.024282739,0.16320081,1.8500842e-08,0.014059849,0.026370322,0.18900971,5.798597e-08,1.0,0.0,1.0,1.0,9000,9,1000.0,0.0,1000,1000,-0.549695016962335,0.08410927535949583,0.49301421313823124,-1.0108935601218676,-549.6950169623349,0.0,-549.6950169623349,-549.6950169623349,0.9597676839536555,0.059399272782101796,1.0,0.6188566310508405,1,-549.6950169623349,-0.011523129410471733,0.0,-0.011523129410471733,-0.011523129410471733,0.9301500762991383,0.0,0.9301500762991383,0.9301500762991383,0.005114351498948878,0.08018382635557028,0.9775589361457179,-0.4191867559499174,-0.5767944044922969,0.0,-0.5767944044922969,-0.5767944044922969,-0.5638270480044246,0.0,-0.5638270480044246,-0.5638270480044246,-0.5548093684612838,0.027290781116581772,-0.43289570241716896,-0.6000000000000001,40000,40,1000.0,0.0,1000,1000,-0.5943415756966283,0.08405437653575872,1.0497782755013572,-1.029143262880405,-594.3415756966393,0.8033761049161061,-593.1102846256138,-595.353828860224,1.0,0.0,1.0,1.0,5,-594.3415756966393,0.0,0.0,0.0,0.0,1.0839861968609061,0.13606675347142613,1.2041913100872885,0.857133629888322,0.0056584243033717075,0.08405437653575872,1.6497782755013572,-0.42914326288040483,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.0047078990000954946,2.0447523539996837,0.4361453830006212,0.019688012000187882,0.0068340130001161015,5.712653884000247,8.224781545000951,67.38025735399606,7
10000,0.031008607,0.0338365,6.7841635,-6.6812477,2.409776,-1.9549276,-10.078518,-6.6600075,2.4006863,-1.919801,-10.11478,-6.7226057,2.434053,-1.9630435,-10.622946,0.031008605,0.05161083,0.42685857,2.0954758e-09,0.033836495,0.055559177,0.45633104,1.7851571e-06,1.0,0.0,1.0,1.0,10000,10,1000.0,0.0,1000,1000,-0.5486787186873842,0.09199046908529189,0.5105739841679524,-0.9919403066298841,-548.6787186873837,0.0,-548.6787186873837,-548.6787186873837,0.9596197014648069,0.05882360317314933,1.0,0.6096731821250456,1,-548.6787186873837,-0.0367037225796818,0.0,-0.0367037225796818,-0.0367037225796818,0.9424579478196851,0.0,0.9424579478196851,0.9424579478196851,0.0059193939504223365,0.08693445414304139,0.9843656270254211,-0.4198237805744798,-0.5317298329446836,0.0,-0.5317298329446836,-0.5317298329446836,-0.52814546989857,0.0,-0.52814546989857,-0.52814546989857,-0.5545981126378065,0.025599952112526237,-0.4539063933237601,-0.6000000000000001,45000,45,1000.0,0.0,1000,1000,-0.5958040689334304,0.07010469122434691,0.822391156985403,-0.9966803454399316,-595.8040689334416,0.6275706362660798,-594.6608096473914,-596.4538288906655,1.0,0.0,1.0,1.0,5,-595.8040689334416,0.0,0.0,0.0,0.0,0.8783260127604148,0.1352677132876406,1.0838600093013926,0.7142724883352376,0.004195931066569603,0.07010469122434693,1.422391156985403,-0.39668034543993147,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004788969000401266,2.0902433230003226,0.4268848159999834,0.015333338999880652,0.006835881999904814,5.793699941000341,8.337786270000834,75.72102686699509,8
11000,0.035134092,0.0337851,8.185602,-7.9964542,2.5164993,-2.9323063,-11.776898,-8.029286,2.5336258,-2.9105198,-11.878627,-8.022864,2.5524151,-2.809166,-11.74918,0.035134092,0.06043147,0.40249407,1.5288606e-09,0.0337851,0.052358184,0.34604836,5.4058946e-06,1.0,0.0,1.0,1.0,11000,11,1000.0,0.0,1000,1000,-0.5497003324592347,0.08146565084123383,0.3708603622557126,-0.9826614602909797,-549.700332459235,0.0,-549.700332459235,-549.700332459235,0.9599317243836752,0.05833193749159707,1.0,0.6437688277026778,1,-549.700332459235,0.023496417656420632,0.0,0.023496417656420632,0.023496417656420632,0.9071246215830654,0.0,0.9071246215830654,0.9071246215830654,0.005222585786609124,0.07860120787054312,0.9463521680987619,-0.4556171533474357,-0.5173422889327772,0.0,-0.5173422889327772,-0.5173422889327772,-0.5383170201324629,0.0,-0.5383170201324629,-0.5383170201324629,-0.5549229182458438,0.026125538381936493,-0.447007989577841,-0.6000000000000001,50000,50,1000.0,0.0,1000,1000,-0.5956477112142834,0.07463097842312709,0.8077497291279274,-1.0128709908533258,-595.6477112142945,1.0379979196309446,-593.6011698567075,-596.4866177554577,1.0,0.0,1.0,1.0,5,-595.6477112142945,0.0,0.0,0.0,0.0,0.8937087459840718,0.15015119377542296,1.1432281732044274,0.722345821939894,0.004352288785716645,0.07463097842312709,1.4077497291279275,-0.4128709908533257,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004836889999751293,2.0568676009997944,0.4156452229999559,0.017507073000160744,0.006803702000070189,5.574804140000197,8.07646462899993,83.80062290199749,9
