replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,trainer/Policy Action Mean,trainer/Policy Action Std,trainer/Policy Action Max,trainer/Policy Action Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.9446276,0.94789875,-0.05536237,0.002108192,0.00032602425,0.002753246,0.0010048953,0.00022299842,0.00062396104,0.0022365716,-0.0013697398,0.93441707,0.27447888,2.413875,0.18951596,0.9446276,0.7013722,5.820135,0.03505766,0.9478988,0.7009416,5.8202167,0.036315367,-0.00065152394,0.0059542493,0.008162172,-0.009452636,2000,34,58.8235294117647,22.894220421751058,104,31,0.9021154978276682,0.1598965875943955,1.3525862067172958,0.13397724331965094,53.06561751927459,22.02965375998752,113.42240451406286,29.34199288636983,0.002199838088233112,0.10249821178918454,0.33320920434305534,-0.3707895526195384,17,53.06561751927459,4907,38,129.1315789473684,10.743838020077465,150,105,0.7840139557488487,0.19177750532513124,1.0063503186725318,0.2618342856107298,101.24096002262108,8.907532958423594,119.99138661828,83.740327075061,-0.0003222124,0.0059582605,0.008140746,-0.007777829,38,101.24096002262108,0.00470808299996861,2.25190326000029,0.457787923000069,0.01235121399986383,0.01031698399947345,5.7625938390001465,8.499661302999812,10.62880417299948,0
3000,1.2065406,1.1583405,-3.4748678,4.5592155,2.240719,9.482049,1.0426129,4.550517,2.2098942,9.318864,0.8201353,3.981,1.5744355,7.324857,0.6539096,1.2065406,3.409572,26.079933,4.1631756e-06,1.1583406,3.4114227,26.65204,4.4438002e-07,0.9998675,0.00042630362,1.0,0.9974279,3000,80,21.73913043478261,3.116818211830049,23,1,1.7549300669543353,0.46638259883616556,2.4235773112203183,1.006707115177375,38.15065362944207,5.57611839125212,40.64284908221264,1.0738406246446834,0.9593899479408907,0.06012170793986545,1.0,0.6068041840722816,46,38.15065362944207,9896,264,22.075221238938052,0.5225924101625731,23,21,1.7576295126377912,0.4635673192795993,2.4129431673395487,1.0062071383022309,38.80006034756612,0.8829100509048478,40.731025938400755,36.570763190187826,0.99962914,0.0006480357,1.0,0.997216,226,38.80006034756612,0.0049091969995060936,2.247220092000134,0.4588854710000305,0.017324440999800572,0.006800823999583372,5.7707514360008645,8.50589146099992,19.136537129998942,1
4000,5.2957973,4.4801006,-12.412573,9.636616,5.4501386,25.216621,4.3314533,9.369683,5.586459,26.453327,2.956173,9.075592,5.846725,24.581697,0.13397725,5.2957973,15.064006,138.11876,3.4159202e-06,4.4801006,13.813639,137.77277,0.00018233302,0.18011276,0.8997693,1.0,-1.0,4000,132,19.23076923076923,3.1538461538461537,28,4,1.0172953578104564,0.09905240674243668,1.3010548578214152,0.8471814093140799,19.5633722655857,3.274528860549391,28.52779860146961,3.7980683838509863,0.30584760859612,0.7878132193434839,1.0,-1.0,52,19.5633722655857,14892,520,19.515625,2.200796641985579,31,17,1.0124959922110464,0.09439982763451968,1.2794716588855009,0.7926268497947242,19.7594920979937,2.1539188649170216,30.170721910071325,16.894576269949876,0.31677145,0.8117759,1.0,-1.0,256,19.7594920979937,0.0048115950003193575,2.2182611830003225,0.4589963759999591,0.017841069999121828,0.006812433999584755,5.726790439999604,8.433513097998912,27.57211583899698,2
5000,25.887861,55.36453,-23.065989,19.250244,16.037123,79.451126,2.9891891,20.682396,16.428133,79.36928,5.559776,18.242851,16.07845,82.19862,1.0595896,25.887863,69.69646,578.81445,3.198229e-05,55.364532,157.69318,1331.782,4.848025e-05,0.08537292,0.95838666,1.0,-1.0,5000,138,166.66666666666666,74.91476638301839,241,27,1.0013930382312852,0.09675154911044802,1.2337186135394271,0.5813630114577633,166.89883970521421,74.89708880829097,248.0066313065958,25.948138654196452,0.10279533963187286,0.9405818955505042,1.0,-1.0,6,166.89883970521421,19809,553,149.0,135.85063098636655,792,72,0.9746227447701463,0.07253746113797535,1.1807498602795146,0.5733553785323725,145.21878897075183,129.9066347140489,759.9259202000796,71.30461146832302,0.1034311,0.977634,1.0,-1.0,33,145.21878897075183,0.00470054200013692,2.2268763059992125,0.4635401030000139,0.014881910999974934,0.00672971200037864,5.7175669550006205,8.434295529000337,36.00849185899824,3
6000,82.93022,76.43429,-25.375591,25.65626,24.614178,127.7005,-0.45920265,25.996708,25.689188,132.09204,-0.35708314,25.19573,24.297129,126.35048,-0.074274294,82.93022,450.47217,3928.1282,1.3153848e-05,76.43429,402.48254,3328.1765,0.00016008316,0.18382652,0.95981157,1.0,-1.0,6000,235,10.309278350515465,4.3324734602009665,52,8,0.6571488972246287,0.3622965726008275,1.2311742920092306,-0.18248475511516504,6.774730899222974,3.270561471743667,38.407829810713245,5.70198882530901,0.11487923875784442,0.9380791541113802,1.0,-1.0,97,6.774730899222974,24805,1068,9.700970873786408,0.6682094819538428,11,8,0.6429803589739761,0.3741677281276158,1.1194702696361227,-0.18301063127860007,6.237533734823272,0.4333186049805544,7.505997150293714,5.502304012313697,0.0996073,0.9775305,1.0,-1.0,515,6.237533734823272,0.004911496000204352,2.249942823999845,0.46521415900042484,0.019459758999801124,0.0067483319999155356,5.813351714999953,8.559628285000144,44.56993786899784,4
7000,407.236,248.66808,-73.95018,72.55568,69.58947,321.18976,-9.77886,71.27971,64.04573,286.8594,-10.309421,69.6095,64.84186,309.75452,-0.7438999,407.236,2201.4548,17760.541,0.0022396683,248.66806,947.7348,8125.8276,0.0025727337,0.17014803,0.9762866,1.0,-1.0,7000,291,17.857142857142858,0.9529760045804525,19,11,-0.05760810470720739,0.7835419926116487,1.0800645238555238,-1.1663553107438123,-1.0287161554858462,0.8123695726656628,4.648298310188572,-1.6283061441702742,0.3188065398709529,0.906425705326103,1.0,-1.0,56,-1.0287161554858462,29791,1349,17.743772241992882,0.43654907402692256,18,17,-0.07967189762855614,0.792533433055871,1.080630993751247,-1.1865247996671078,-1.4136800056084728,0.32666657455411047,-0.5091882150969582,-2.068069972478185,0.33333266,0.9428079,1.0,-1.0,281,-1.4136800056084728,0.004922355000417156,2.237735120999787,0.4635299749998012,0.01850057800038485,0.0067991020005138125,5.774824837999404,8.506311969000308,53.078426320998915,5
8000,77.500206,75.19179,-136.54646,110.61195,69.08747,291.8984,-9.036121,110.79805,69.26782,291.54886,-9.580253,110.680695,70.32598,303.11627,-14.927836,77.5002,298.27283,4455.4688,0.00021502399,75.19179,277.913,4080.4197,0.002821293,0.14794041,0.9685853,1.0,-1.0,8000,347,17.857142857142858,0.8112726208286106,18,12,-0.059851813739568244,0.785378249991069,1.0745716023431593,-1.1704229686972496,-1.0687823882065757,0.8262200765016259,4.73785609647399,-1.7010837984492941,0.3214340687700549,0.9076845729895604,1.0,-1.0,56,-1.0687823882065757,34791,1631,17.73049645390071,0.4437019097763703,18,17,-0.08048496188915072,0.7921913872606403,1.0789276017794505,-1.187632081919258,-1.4270383313679205,0.3100321595993571,-0.5912641436708972,-1.9869278660119298,0.33333147,0.9428077,1.0,-1.0,282,-1.4270383313679205,0.0048752350003269385,2.2382390419998046,0.46929196099972614,0.019119330000648915,0.006826132000242069,5.794716974000039,8.533068674000788,61.613501533001,6
9000,345.79688,346.5049,-186.9047,159.39874,114.714096,604.2689,-33.0779,158.89987,114.727455,605.5422,-30.405066,157.05344,117.30347,607.6616,-27.081348,345.7969,2900.5542,40032.223,2.675713e-05,346.5049,2959.0754,41786.332,1.5860656e-05,0.16379385,0.9772905,1.0,-1.0,9000,403,17.857142857142858,0.9529760045804525,19,11,-0.061552367250800044,0.7852624069101065,1.0847593919640215,-1.1618116038334625,-1.0991494151928578,0.8647198465865517,5.037094463394967,-1.7452930530671742,0.32087763058767765,0.909200578097586,1.0,-1.0,56,-1.0991494151928578,39790,1912,17.790035587188612,0.40728289696985437,18,17,-0.08011005562080808,0.7918504934033916,1.0825487937556653,-1.1920585025424562,-1.425160740385835,0.31544676064774163,-0.5202140545400487,-2.0217968496512664,0.3333332,0.942809,1.0,-1.0,281,-1.425160740385835,0.004932684999403136,2.2590181550003763,0.48262526799953775,0.015177651999692898,0.006815030999860028,5.812930928999776,8.581499719998646,70.19707967299928,7
10000,376.97034,393.47562,-193.71347,178.00653,169.25325,834.7846,-47.524147,180.08421,170.12271,841.0082,-51.111202,179.91165,171.0746,832.874,-60.38455,376.97034,4073.8464,65217.41,7.2943512e-06,393.47562,4201.116,67274.99,0.0013433406,0.16030641,0.9793291,1.0,-1.0,10000,459,17.857142857142858,0.832993127835043,19,12,-0.05984078547619858,0.7846153924499478,1.0703349115966436,-1.1794210543595205,-1.0685854549321177,0.7332028129161428,4.025510104982744,-1.7778291510001714,0.319616352135743,0.9076164316883879,1.0,-1.0,56,-1.0685854549321177,44777,2193,17.747330960854093,0.4345427433555776,18,17,-0.07948228479897895,0.7925618986866242,1.083633952995112,-1.1837537598999315,-1.4105984138523417,0.30999138035556917,-0.6610957141975735,-2.0141234129366974,0.33333334,0.942809,1.0,-1.0,281,-1.4105984138523417,0.00501701699977275,2.258333284999935,0.49481494700012263,0.01436573600039992,0.006872481999380398,5.771221085999969,8.55062455299958,78.7497668449987,8
11000,280.52368,277.69263,-256.80145,221.76407,179.4653,996.1542,-43.65961,220.49734,179.9391,1002.908,-46.123417,216.89178,178.6233,989.5318,-51.314957,280.52368,1533.9651,23547.988,3.7813792e-05,277.69263,1704.4001,25860.102,0.0044994093,0.5382403,0.81044436,1.0,-1.0,11000,460,1000.0,0.0,1000,1000,0.9676213577631317,0.11313712580480315,1.1744704084613324,0.1980620209859432,967.6213577631303,0.0,967.6213577631303,967.6213577631303,0.6608838584079763,0.6760061179624646,1.0,-1.0,1,967.6213577631303,49777,2198,1000.0,0.0,1000,1000,0.9658372813631504,0.09998188501666246,1.1514014202901157,0.2023737169864487,965.8372813631506,0.3377511588599996,966.3202018038482,965.3658538470739,0.68868995,0.6940575,1.0,-1.0,5,965.8372813631506,0.004886333999820636,2.2662957129996357,0.5081419999996797,0.01494528600051126,0.006844931000159704,5.892645587000516,8.693759851000323,87.4456541669997,9
